Engine.Type,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total Passengers,Ratio Uninjured
Electric,24.0,2.0,1.0,0.0,7.0,10.0,0.7
Geared Turbofan,22.0,0.0,0.0,0.0,121.0,121.0,1.0
Hybrid Rocket,1.0,1.0,0.0,1.0,0.0,2.0,0.0
LR,16.0,0.0,21.0,3.0,11.0,35.0,0.3142857142857143
None,11.0,1.0,8.0,7.0,65.0,81.0,0.8024691358024691
Reciprocating,74452.0,23125.0,13366.0,17157.0,72941.0,126589.0,0.5762033036045786
Turbo Fan,5344.0,4419.0,1812.0,3279.0,194409.0,203919.0,0.953363835640622
Turbo Jet,1446.0,841.0,234.0,363.0,32504.0,33942.0,0.9576336102763537
Turbo Prop,5126.0,2448.0,671.0,885.0,14836.0,18840.0,0.7874734607218684
Turbo Shaft,4006.0,1666.0,1204.0,1530.0,4789.0,9189.0,0.5211666122537817
UNK,1.0,0.0,0.0,2.0,0.0,2.0,0.0
Unknown,131.0,3392.0,875.0,1489.0,10440.0,16196.0,0.6446036058285997
