Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
107.5 Flying Corporation,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
177Mf Llc,1.0,0.0,2.0,0.0,0.0,2014,2.0,0.0
1977 Colfer-Chan,0.0,0.0,0.0,1.0,0.0,2001,1.0,0.0
1St Ftr Gp,1.0,1.0,0.0,0.0,0.0,1994,1.0,0.0
2000 Mccoy,1.0,1.0,0.0,0.0,0.0,2000,1.0,0.0
2001 Mcgirl,1.0,0.0,1.0,0.0,0.0,2001,1.0,0.0
2003 Nash,1.0,0.0,0.0,1.0,0.0,2004,1.0,0.0
2007 Savage Air Llc,1.0,0.0,0.0,0.0,4.0,2008,4.0,1.0
2021Fx3 Llc,2.0,0.0,0.0,0.0,4.0,4044,4.0,1.0
3Xtrim,1.0,1.0,0.0,1.0,0.0,2015,2.0,0.0
5 Rivers Llc,1.0,0.0,0.0,1.0,1.0,2022,2.0,0.5
67 Flying Dutchman,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
737,0.0,0.0,0.0,0.0,329.0,4044,329.0,1.0
777,0.0,0.0,0.0,0.0,0.0,2021,0.0,
781569 Inc,1.0,0.0,3.0,0.0,0.0,2013,3.0,0.0
85 Manista,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
A Pair Of Jacks,1.0,0.0,0.0,1.0,0.0,2002,1.0,0.0
A. H. Gettings,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
A. Le Francois,1.0,0.0,0.0,1.0,0.0,1994,1.0,0.0
Aaa Aircraft Leasing,1.0,2.0,0.0,0.0,0.0,2002,2.0,0.0
Aaa Aircraft Llc,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Aardema Robert John,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Ab Sportine Aviacija,0.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Abbett Gerry,1.0,0.0,2.0,0.0,0.0,2021,2.0,0.0
Abbey Victor,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Abbott,3.0,0.0,0.0,0.0,3.0,5998,3.0,1.0
Abc,0.0,0.0,0.0,0.0,2.0,1994,2.0,1.0
Abernathy,2.0,0.0,1.0,0.0,1.0,3991,2.0,0.5
Abraham J G Ii/Erickson K,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Abrams,1.0,0.0,1.0,0.0,0.0,1999,1.0,0.0
Abrams/Nuding,1.0,0.0,0.0,2.0,0.0,1992,2.0,0.0
Ac Mfg & Dev'T Co,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Aces High,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Ackert,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Ackland Jeffrey Dean,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Acro,0.0,0.0,0.0,1.0,0.0,2019,1.0,0.0
Acro Sport,3.0,0.0,0.0,0.0,3.0,6021,3.0,1.0
Acroduster,1.0,1.0,1.0,0.0,0.0,4010,2.0,0.0
Adams,8.0,4.0,9.0,9.0,16.0,33921,38.0,0.42105263157894735
Adams Dennis Allen,1.0,0.0,1.0,1.0,0.0,2022,2.0,0.0
Adams Donald L,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Adams John R Jr,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Adams William C,1.0,0.0,0.0,0.0,1.0,1985,1.0,1.0
Adkins,2.0,0.0,0.0,1.0,1.0,4013,2.0,0.5
Adler,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Adolfson,1.0,1.0,1.0,0.0,0.0,1993,2.0,0.0
Adolphson,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Adrian Davis,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Adrian George W,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Advance Aviation,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Advanced Acft,1.0,0.0,2.0,0.0,0.0,1994,2.0,0.0
Advanced Aviation,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Advanced Technology,2.0,0.0,1.0,1.0,0.0,3981,2.0,0.0
Adventura,1.0,0.0,0.0,1.0,1.0,2004,2.0,0.5
Advertising Mgmt & Consulting,1.0,2.0,0.0,3.0,0.0,2010,5.0,0.0
"Aegerter, Simon",1.0,0.0,0.0,0.0,3.0,1998,3.0,1.0
Aerial Productions Intl. Inc.,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
Aermacchi,2.0,0.0,1.0,1.0,2.0,4026,4.0,0.5
Aero Adventure,2.0,1.0,0.0,1.0,0.0,4028,2.0,0.0
Aero At Sp Zoo,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Aero Bristell,1.0,0.0,2.0,0.0,0.0,2020,2.0,0.0
Aero Commander,583.0,244.0,88.0,92.0,392.0,848453,816.0,0.4803921568627451
Aero Comp Inc,1.0,0.0,1.0,1.0,0.0,2000,2.0,0.0
Aero Design Eleven,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Aero Designs,1.0,0.0,0.0,0.0,2.0,2018,2.0,1.0
Aero Eli Servizi,0.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
"Aero Falcon Intl., Inc.",1.0,0.0,0.0,1.0,1.0,1993,2.0,0.5
Aero Mercantil S.A.,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Aero Mirage,1.0,1.0,1.0,0.0,0.0,1987,2.0,0.0
Aero Partners One Llc,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Aero Smart Solutions Inc,1.0,0.0,1.0,0.0,1.0,2016,2.0,0.5
Aero Sp Z O O,4.0,1.0,1.0,0.0,3.0,8047,5.0,0.6
Aero Sp Z O O (Gobosh),1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
"Aero Tek, Inc.",0.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Aero Vodochody,17.0,18.0,0.0,6.0,7.0,36191,31.0,0.22580645161290322
Aero Vodochody Aero Works,1.0,1.0,0.0,0.0,0.0,2003,1.0,0.0
Aero Vodochody Aero. Works,10.0,11.0,0.0,2.0,4.0,20018,17.0,0.23529411764705882
Aero Works,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Aero-Ace,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
Aerodynamics .,1.0,0.0,0.0,0.0,1.0,1987,1.0,1.0
Aerodyne,1.0,2.0,0.0,0.0,0.0,1990,2.0,0.0
Aerofab,1.0,1.0,0.0,1.0,0.0,2008,2.0,0.0
