Engine.Type,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total Passengers,Ratio Uninjured
Electric,24.0,2.0,1.0,0.0,7.0,10.0,70.0
Geared Turbofan,22.0,0.0,0.0,0.0,121.0,121.0,100.0
Hybrid Rocket,1.0,1.0,0.0,1.0,0.0,2.0,0.0
LR,16.0,0.0,21.0,3.0,11.0,35.0,31.428571428571427
None,11.0,1.0,12.0,8.0,92.0,113.0,81.41592920353983
Reciprocating,74452.0,23126.0,13366.0,17157.0,72943.0,126592.0,57.6205447421638
Turbo Fan,5344.0,4419.0,1812.0,3279.0,194409.0,203919.0,95.3363835640622
Turbo Jet,1446.0,841.0,234.0,363.0,32504.0,33942.0,95.76336102763537
Turbo Prop,5126.0,2448.0,671.0,885.0,14836.0,18840.0,78.74734607218684
Turbo Shaft,4006.0,1666.0,1204.0,1530.0,4789.0,9189.0,52.11666122537817
UNK,1.0,0.0,0.0,2.0,0.0,2.0,0.0
Unknown,131.0,3712.0,1124.0,1734.0,12665.0,19235.0,65.8435144268261
